tree,slope,week,date_wp,cwc,time_season
2384,-0.01129554137931036,17,2022-04-25,0.0155261,after leafout
2384,-0.01129554137931036,15,2022-04-11,0.0042916,before leafout
2384,-0.01129554137931036,14,2022-03-30,0.041692,before leafout
2384,-0.01129554137931036,29,2022-07-19,NA,after leafout
2384,-0.01129554137931036,15,2022-04-13,0.0042916,before leafout
2384,-0.01129554137931036,14,2022-04-06,0.041692,before leafout
2384,-0.01129554137931036,21,2022-05-23,1e-7,after leafout
2384,-0.01129554137931036,12,2022-03-25,0.0584116,before leafout
2384,-0.01129554137931036,18,2022-05-04,0,after leafout
2384,-0.01129554137931036,19,2022-05-09,0.0128505,after leafout
2384,-0.01129554137931036,10,2022-03-08,0.0631179,before leafout
2384,-0.01129554137931036,33,2022-08-18,NA,after leafout
2384,-0.01129554137931036,37,2022-09-15,0,after leafout
